,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,CSS用キーワード
,下記文書に準拠
,Cascading Style Sheets Level 2 Revision 1 (CSS 2.1) Specification
,W3C Recommendation 07 June 2011
,http://www.w3.org/TR/2011/REC-CSS2-20110607/

,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
azimuth,"音の方向
<angle> | [[ left-side | far-left | left | center-left | center | center-right | right | far-right | right-side ] || behind ] | leftwards | rightwards | inherit",,"property",class
groove,"へこんで見える枠線",,"border-style",macro
ridge,"盛り上がって見える枠線",,"border-style",macro
inset,"要素全体がへこんで見える枠線",,"border-style",macro
outset,"要素全体が盛り上がって見える枠線",,"border-style",macro
,＝＝＝＝＝＝＝＝＝＝
thin,"細い枠線",,"border-width",macro
medium,"標準幅の枠線",,"border-width",macro
thick,"太い枠線",,"border-width",macro
（長さで指定）,"〜em/ex/in/cm/mm/pt/pc/px",,"border-width",macro
,＝＝＝＝＝＝＝＝＝＝
static,"通常の位置（top/right/bottom/leftプロパティは適用されない）",,"position",macro
relative,"通常の位置からの相対位置（top/right/bottom/leftプロパティで相対位置を指定）",,"position",macro
absolute,"絶対位置指定（top/right/bottom/leftプロパティで絶対位置を指定）",,"position",macro
fixed,"固定位置（スクロールしても固定）（top/right/bottom/leftプロパティで絶対位置を指定）",,"position",macro
,＝＝＝＝＝＝＝＝＝＝
auto,"ポイント位置に応じた通常のカーソル",,"cursor",macro
crosshair,"クロスヘア（＋）カーソル",,"cursor",macro
default,"プラットフォームのデフォルト（通常は矢印）カーソル",,"cursor",macro
pointer,"リンクを示すポインタカーソル",,"cursor",macro
move,"移動されることを示すカーソル",,"cursor",macro
e-resize,"右辺でのリサイズ用カーソル",,"cursor",macro
ne-resize,"右上でのリサイズ用カーソル",,"cursor",macro
nw-resize,"左上でのリサイズ用カーソル",,"cursor",macro
n-resize,"上辺でのリサイズ用カーソル",,"cursor",macro
se-resize,"右下でのリサイズ用カーソル",,"cursor",macro
sw-resize,"左下でのリサイズ用カーソル",,"cursor",macro
s-resize,"下辺でのリサイズ用カーソル",,"cursor",macro
w-resize,"左辺リサイズ用カーソル",,"cursor",macro
text,"テキスト用（通常はIビーム）カーソル",,"cursor",macro
wait,"ビジーを示す（時計など）カーソル",,"cursor",macro
help,"ヘルプ用カーソル",,"cursor",macro
progress,"プログレス表示カーソル",,"cursor",macro
,＝＝＝＝＝＝＝＝＝＝
inline,"display",,"display",macro
block,"display",,"display",macro
list-item,"display",,"display",macro
inline-block,"display",,"display",macro
table,"display",,"display",macro
inline-table,"display",,"display",macro
table-row-group,"display",,"display",macro
table-header-group,"display",,"display",macro
table-footer-group,"display",,"display",macro
table-row,"display",,"display",macro
table-column-group,"display",,"display",macro
table-column,"display",,"display",macro
table-cell,"display",,"display",macro
table-caption,"display",,"display",macro
none,"display",,"display",macro
,＝＝＝＝＝＝＝＝＝＝
left,"float",,"float",macro
right,"float",,"float",macro
none,"float",,"float",macro
,＝＝＝＝＝＝＝＝＝＝
serif,"明朝体など",,"font-family",macro
sans-serif,"ゴシック体など",,"font-family",macro
monospace,"等幅",,"font-family",macro
（フォント名で指定）,"""Helvetica""等",,"font-family",macro
,＝＝＝＝＝＝＝＝＝＝
xx-small,"font-size",,"font-size",macro
x-small,"font-size",,"font-size",macro
small,"font-size",,"font-size",macro
medium,"font-size",,"font-size",macro
large,"font-size",,"font-size",macro
x-large,"font-size",,"font-size",macro
xx-large,"font-size",,"font-size",macro
larger,"親要素よりも大きく",,"font-size",macro
smaller,"親要素よりも小さく",,"font-size",macro
（%で指定）,"〜％",,"font-size",macro
（長さで指定）,"〜em/ex/in/cm/mm/pt/pc/px",,"font-size",macro
,＝＝＝＝＝＝＝＝＝＝
normal,"font-style",,"font-style",macro
italic,"font-style",,"font-style",macro
oblique,"font-style",,"font-style",macro
,＝＝＝＝＝＝＝＝＝＝
normal,"font-variant",,"font-variant",macro
small-caps,"font-variant",,"font-variant",macro
,＝＝＝＝＝＝＝＝＝＝
normal,"font-weight",,"font-weight",macro
bold,"font-weight",,"font-weight",macro
bolder,"font-weight",,"font-weight",macro
lighter,"font-weight",,"font-weight",macro
100,"font-weight",,"font-weight",macro
200,"font-weight",,"font-weight",macro
300,"font-weight",,"font-weight",macro
400,"font-weight",,"font-weight",macro
500,"font-weight",,"font-weight",macro
600,"font-weight",,"font-weight",macro
700,"font-weight",,"font-weight",macro
800,"font-weight",,"font-weight",macro
900,"font-weight",,"font-weight",macro
,＝＝＝＝＝＝＝＝＝＝
caption,"system-font",,"system-font",macro
icon,"system-font",,"system-font",macro
menu,"system-font",,"system-font",macro
message-box,"system-font",,"system-font",macro
small-caption,"system-font",,"system-font",macro
status-bar,"system-font",,"system-font",macro
,＝＝＝＝＝＝＝＝＝＝
visible,"はみだしてもブロックボックス外に表示される",,"overflow",macro
hidden,"はみだした部分は表示されない",,"overflow",macro
scroll,"常にスクロールバー等が表示される",,"overflow",macro
auto,"はみだす場合のみスクロールバー等が表示される",,"overflow",macro
,＝＝＝＝＝＝＝＝＝＝
left,"text-align",,"text-align",macro
right,"text-align",,"text-align",macro
center,"text-align",,"text-align",macro
justify,"text-align",,"text-align",macro
,＝＝＝＝＝＝＝＝＝＝
underline,"text-decoration",,"text-decoration",macro
overline,"text-decoration",,"text-decoration",macro
line-through,"text-decoration",,"text-decoration",macro
blink,"text-decoration",,"text-decoration",macro
,＝＝＝＝＝＝＝＝＝＝
baseline,"vertical-align",,"vertical-align",macro
sub,"vertical-align",,"vertical-align",macro
super,"vertical-align",,"vertical-align",macro
top,"vertical-align",,"vertical-align",macro
text-top,"vertical-align",,"vertical-align",macro
middle,"vertical-align",,"vertical-align",macro
bottom,"vertical-align",,"vertical-align",macro
text-bottom,"vertical-align",,"vertical-align",macro
,＝＝＝＝＝＝＝＝＝＝
visible,"visibility",,"visibility",macro
hidden,"visibility",,"visibility",macro
collapse,"visibility",,"visibility",macro
,＝＝＝＝＝＝＝＝＝＝
normal,"空白文字：1つの半角スペースにまとめる／行折り返し：行端のみ",,"white-space",macro
pre,"空白文字：記述した数だけ表示／行折り返し：改行コードの箇所のみ",,"white-space",macro
nowrap,"空白文字：1つの半角スペースにまとめる／行折り返し：全く折り返ししない",,"white-space",macro
pre-wrap,"空白文字：記述した数だけ表示／行折り返し：改行コードの箇所、および、行端",,"white-space",macro
pre-line,"空白文字：1つの半角スペースにまとめる／行折り返し：改行コードの箇所、および、行端",,"white-space",macro
,＝＝＝＝＝＝＝＝＝＝
url,"url(""URL"")",,,macro
rect,"rect(top,right,bottom,left)",,,macro
counter,"counter(""カウンタ名"")",,,macro
rgb,"rgb(0〜255,0〜255,0〜255)、または、rgb(0%〜100%,0%〜100%,0%〜100%)",,,macro
,＝＝＝＝＝＝＝＝＝＝
@charset,"@charset ""テキストエンコーディング名"";
",,,reserved-word,"@charset ""<<<CARET HINT(text-encoding)>>>"";"
@import,"@import url(""URL"");
",,,reserved-word,"@import url(""<<<CARET HINT(URL)>>>"");"
@media,,,,reserved-word
,＝＝＝＝＝＝＝＝＝＝5.11 Pseudo-classes
first-child,"pseudo-class",,"pseudo-class",reserved-word
link,"pseudo-class",,"pseudo-class",reserved-word
visited,"pseudo-class",,"pseudo-class",reserved-word
hover,"pseudo-class",,"pseudo-class",reserved-word
active,"pseudo-class",,"pseudo-class",reserved-word
focus,"pseudo-class",,"pseudo-class",reserved-word
lang,"pseudo-class",,"pseudo-class",reserved-word
,＝＝＝＝＝＝＝＝＝＝5.12 Pseudo-elements
first-line,"pseudo-element",,"pseudo-element",reserved-word
first-letter,"pseudo-element",,"pseudo-element",reserved-word
before,"pseudo-element",,"pseudo-element",reserved-word
after,"pseudo-element",,"pseudo-element",reserved-word


